WALL(K),WINDOWS(K),SHGC,INFILTRATION,Cooling load,Heeting load,Total load
0.3,2.5,0.1,0.5,48.765841,10.270088,59.035929
0.4,2.5,0.1,0.5,49.625221,10.89437,60.519591
0.5,2.5,0.1,0.5,50.401676,11.470901,61.872577
0.6,2.5,0.1,0.5,51.105525,12.006958,63.112483
0.7,2.5,0.1,0.5,51.755224,12.507259,64.262483
0.8,2.5,0.1,0.5,52.355822,12.976597,65.332419
0.3,2,0.1,0.5,48.467762,9.429088,57.89685
0.4,2,0.1,0.5,49.342402,10.062788,59.40519
0.5,2,0.1,0.5,50.132752,10.649235,60.781987
0.6,2,0.1,0.5,50.847252,11.193644,62.040896
0.7,2,0.1,0.5,51.50454,11.700954,63.205494
0.8,2,0.1,0.5,52.112787,12.177379,64.290166
0.3,1.5,0.1,0.5,48.273831,8.499576,56.773407
0.4,1.5,0.1,0.5,49.156877,9.144202,58.301079
0.5,1.5,0.1,0.5,49.956203,9.740148,59.696351
0.6,1.5,0.1,0.5,50.679818,10.293908,60.973726
0.7,1.5,0.1,0.5,51.34274,10.809528,62.152268
0.8,1.5,0.1,0.5,51.955791,11.293548,63.249339
0.3,2.5,0.15,0.5,53.500597,9.627581,63.128178
0.4,2.5,0.15,0.5,54.17658,10.260276,64.436856
0.5,2.5,0.15,0.5,54.797932,10.844166,65.642098
0.6,2.5,0.15,0.5,55.376306,11.387337,66.763643
0.7,2.5,0.15,0.5,55.916193,11.894539,67.810732
0.8,2.5,0.15,0.5,56.418281,12.370003,68.788284
0.3,2,0.15,0.5,53.218818,8.804021,62.022839
0.4,2,0.15,0.5,53.898402,9.446349,63.344751
0.5,2,0.15,0.5,54.522967,10.039615,64.562582
0.6,2,0.15,0.5,55.102337,10.59079,65.693127
0.7,2,0.15,0.5,55.644453,11.105369,66.749822
0.8,2,0.15,0.5,56.14969,11.587055,67.736745
0.3,1.5,0.15,0.5,53.103964,7.895082,60.999046
0.4,1.5,0.15,0.5,53.782665,8.546691,62.329356
0.5,1.5,0.15,0.5,54.403571,9.150402,63.553973
0.6,1.5,0.15,0.5,54.978939,9.710061,64.689
0.7,1.5,0.15,0.5,55.517377,10.23203,65.749407
0.8,1.5,0.15,0.5,56.022412,10.720566,66.742978
0.3,2.5,0.2,0.5,57.717841,9.129569,66.84741
0.4,2.5,0.2,0.5,58.245506,9.768831,68.014337
0.5,2.5,0.2,0.5,58.739472,10.357914,69.097386
0.6,2.5,0.2,0.5,59.209621,10.905739,70.11536
0.7,2.5,0.2,0.5,59.648367,11.417252,71.065619
0.8,2.5,0.2,0.5,60.068463,11.896939,71.965402
0.3,2,0.2,0.5,57.579616,8.309155,65.888771
0.4,2,0.2,0.5,58.096562,8.956173,67.052735
0.5,2,0.2,0.5,58.582,9.554695,68.136695
0.6,2,0.2,0.5,59.045208,10.110637,69.155845
